"LSOA11CD","July17_2022","July18_2022","July19_2022","July20_2022","July21_2022","July22_2022"
"E01000240",22.26,26.79,27.3,20.93,19.46,18.5
"E01000241",22.26,26.79,27.3,20.93,19.46,18.5
"E01000242",22.26,26.79,27.3,20.93,19.46,18.5
"E01000243",22.26,26.79,27.3,20.93,19.46,18.5
"E01000244",22.26,26.79,27.3,20.93,19.46,18.5
"E01000245",22.26,26.79,27.3,20.93,19.46,18.5
"E01000246",22.68,27.51,28.49,21.83,19.96,18.54
"E01000247",22.68,27.51,28.49,21.83,19.96,18.54
"E01000248",22.26,26.79,27.3,20.93,19.46,18.5
"E01000249",22.26,26.79,27.3,20.93,19.46,18.5
"E01000250",22.58,27.33,28.2,21.61,19.84,18.53
"E01000251",22.68,27.51,28.49,21.83,19.96,18.54
"E01000252",22.68,27.51,28.49,21.83,19.96,18.54
"E01000253",22.26,26.79,27.3,20.93,19.46,18.5
"E01000254",22.49,27.17,27.94,21.41,19.73,18.52
"E01000255",22.26,26.79,27.3,20.93,19.46,18.5
"E01000256",22.26,26.79,27.3,20.93,19.46,18.5
"E01000257",22.27,26.82,27.35,20.97,19.48,18.5
"E01000258",22.26,26.79,27.3,20.93,19.46,18.5
"E01000259",22.26,26.79,27.3,20.93,19.46,18.5
"E01000260",22.26,26.79,27.3,20.93,19.46,18.5
"E01000261",22.26,26.79,27.3,20.93,19.46,18.5
"E01000262",22.3,26.86,27.42,21.02,19.51,18.5
"E01000263",22.26,26.79,27.3,20.93,19.46,18.5
"E01000264",22.26,26.79,27.3,20.93,19.46,18.5
"E01000265",22.68,27.51,28.49,21.83,19.96,18.54
"E01000266",22.68,27.51,28.49,21.83,19.96,18.54
"E01000267",22.68,27.51,28.49,21.83,19.96,18.54
"E01000268",22.68,27.51,28.49,21.83,19.96,18.54
"E01000269",22.68,27.51,28.49,21.83,19.96,18.54
"E01000270",22.68,27.51,28.49,21.83,19.96,18.54
"E01000271",22.68,27.51,28.49,21.83,19.96,18.54
"E01000272",22.68,27.51,28.49,21.83,19.96,18.54
"E01000273",22.68,27.51,28.49,21.83,19.96,18.54
"E01000274",22.68,27.51,28.49,21.83,19.96,18.54
"E01000275",22.68,27.51,28.49,21.83,19.96,18.54
"E01000276",22.67,27.48,28.44,21.79,19.94,18.54
"E01000277",22.68,27.51,28.49,21.83,19.96,18.54
"E01000278",22.68,27.51,28.49,21.83,19.96,18.54
"E01000279",22.34,26.93,27.53,21.11,19.56,18.51
"E01000280",22.68,27.51,28.49,21.83,19.96,18.54
"E01000281",22.68,27.51,28.49,21.83,19.96,18.54
"E01000282",22.68,27.51,28.49,21.83,19.96,18.54
"E01000283",22.68,27.51,28.49,21.83,19.96,18.54
"E01000284",22.68,27.51,28.49,21.83,19.96,18.54
"E01000285",22.26,26.79,27.3,20.93,19.46,18.5
"E01000286",22.26,26.79,27.3,20.93,19.46,18.5
"E01000287",22.26,26.79,27.3,20.93,19.46,18.5
"E01000288",22.68,27.51,28.49,21.83,19.96,18.54
"E01000289",22.66,27.46,28.42,21.77,19.93,18.54
"E01000290",22.26,26.79,27.3,20.93,19.46,18.5
"E01000291",22.31,26.88,27.45,21.04,19.52,18.5
"E01000292",22.26,26.79,27.3,20.93,19.46,18.5
"E01000293",22.56,27.29,28.13,21.56,19.81,18.53
"E01000294",22.26,26.79,27.3,20.93,19.46,18.5
"E01000295",22.68,27.51,28.49,21.83,19.96,18.54
"E01000296",22.68,27.51,28.49,21.83,19.96,18.54
"E01000297",22.68,27.51,28.49,21.83,19.96,18.54
"E01000298",22.68,27.51,28.49,21.83,19.96,18.54
"E01000299",22.68,27.51,28.49,21.83,19.96,18.54
"E01000300",22.68,27.51,28.49,21.83,19.96,18.54
"E01000301",22.68,27.51,28.49,21.83,19.96,18.54
"E01000302",22.68,27.51,28.49,21.83,19.96,18.54
"E01000303",22.68,27.51,28.49,21.83,19.96,18.54
"E01000304",22.62,27.4,28.32,21.7,19.89,18.53
"E01000305",22.26,26.79,27.3,20.93,19.46,18.5
"E01000306",22.26,26.79,27.3,20.93,19.46,18.5
"E01000307",22.26,26.79,27.3,20.93,19.46,18.5
"E01000308",22.26,26.79,27.3,20.93,19.46,18.5
"E01000309",22.26,26.79,27.3,20.93,19.46,18.5
"E01000310",22.26,26.79,27.3,20.93,19.46,18.5
"E01000311",22.26,26.79,27.3,20.93,19.46,18.5
"E01000312",22.26,26.79,27.3,20.93,19.46,18.5
"E01000313",22.26,26.79,27.3,20.93,19.46,18.5
"E01000314",22.26,26.79,27.3,20.93,19.46,18.5
"E01000315",22.68,27.51,28.49,21.83,19.96,18.54
"E01000316",22.68,27.51,28.49,21.83,19.96,18.54
"E01000317",22.68,27.51,28.49,21.83,19.96,18.54
"E01000318",22.68,27.51,28.49,21.83,19.96,18.54
"E01000319",22.68,27.51,28.49,21.83,19.96,18.54
"E01000320",22.68,27.51,28.49,21.83,19.96,18.54
"E01000321",22.68,27.51,28.49,21.83,19.96,18.54
"E01000322",22.68,27.51,28.49,21.83,19.96,18.54
"E01000323",22.68,27.51,28.49,21.83,19.96,18.54
"E01000324",22.68,27.51,28.49,21.83,19.96,18.54
"E01000325",22.68,27.51,28.49,21.83,19.96,18.54
"E01000326",22.68,27.51,28.49,21.83,19.96,18.54
"E01000327",22.68,27.51,28.49,21.83,19.96,18.54
"E01000328",22.68,27.51,28.49,21.83,19.96,18.54
"E01000329",22.68,27.51,28.49,21.83,19.96,18.54
"E01000330",22.68,27.51,28.49,21.83,19.96,18.54
"E01000331",22.68,27.51,28.49,21.83,19.96,18.54
"E01000332",22.68,27.51,28.49,21.83,19.96,18.54
"E01000333",22.68,27.51,28.49,21.83,19.96,18.54
"E01000334",22.68,27.51,28.49,21.83,19.96,18.54
"E01000335",22.68,27.51,28.49,21.83,19.96,18.54
"E01000336",22.68,27.51,28.49,21.83,19.96,18.54
"E01000337",22.68,27.51,28.49,21.83,19.96,18.54
"E01000338",22.68,27.51,28.49,21.83,19.96,18.54
"E01000339",22.68,27.51,28.49,21.83,19.96,18.54
"E01000340",22.68,27.51,28.49,21.83,19.96,18.54
"E01000341",22.68,27.51,28.49,21.83,19.96,18.54
"E01000342",22.68,27.51,28.49,21.83,19.96,18.54
"E01000343",22.68,27.51,28.49,21.83,19.96,18.54
"E01000344",22.68,27.51,28.49,21.83,19.96,18.54
"E01000345",22.68,27.51,28.49,21.83,19.96,18.54
"E01000346",22.68,27.51,28.49,21.83,19.96,18.54
"E01000347",22.68,27.51,28.49,21.83,19.96,18.54
"E01000348",22.68,27.51,28.49,21.83,19.96,18.54
"E01000349",22.68,27.51,28.49,21.83,19.96,18.54
"E01000350",22.68,27.51,28.49,21.83,19.96,18.54
"E01000351",22.68,27.51,28.49,21.83,19.96,18.54
"E01000352",22.68,27.51,28.49,21.83,19.96,18.54
"E01000353",22.68,27.51,28.49,21.83,19.96,18.54
"E01000354",22.68,27.51,28.49,21.83,19.96,18.54
"E01000355",22.68,27.51,28.49,21.83,19.96,18.54
"E01000356",22.68,27.51,28.49,21.83,19.96,18.54
"E01000357",22.68,27.51,28.49,21.83,19.96,18.54
"E01000358",22.68,27.51,28.49,21.83,19.96,18.54
"E01000359",22.68,27.51,28.49,21.83,19.96,18.54
"E01000360",22.68,27.51,28.49,21.83,19.96,18.54
"E01000361",22.68,27.51,28.49,21.83,19.96,18.54
"E01000362",22.68,27.51,28.49,21.83,19.96,18.54
"E01000363",22.68,27.51,28.49,21.83,19.96,18.54
"E01000364",22.68,27.51,28.49,21.83,19.96,18.54
"E01000365",22.68,27.51,28.49,21.83,19.96,18.54
"E01000366",22.68,27.51,28.49,21.83,19.96,18.54
"E01000367",22.68,27.51,28.49,21.83,19.96,18.54
"E01000368",22.68,27.51,28.49,21.83,19.96,18.54
"E01000369",22.68,27.51,28.49,21.83,19.96,18.54
"E01000370",22.68,27.51,28.49,21.83,19.96,18.54
"E01000371",22.68,27.51,28.49,21.83,19.96,18.54
"E01000372",22.68,27.51,28.49,21.83,19.96,18.54
"E01000373",22.68,27.51,28.49,21.83,19.96,18.54
"E01000374",22.64,27.49,28.52,21.86,19.93,18.51
"E01000375",22.68,27.51,28.49,21.83,19.96,18.54
"E01000376",22.68,27.51,28.49,21.83,19.96,18.54
"E01000377",22.68,27.51,28.49,21.83,19.96,18.54
"E01000378",22.68,27.51,28.49,21.83,19.96,18.54
"E01000379",22.68,27.51,28.49,21.83,19.96,18.54
"E01000380",22.68,27.51,28.49,21.83,19.96,18.54
"E01000381",22.68,27.51,28.49,21.83,19.96,18.54
"E01000382",22.68,27.51,28.49,21.83,19.96,18.54
"E01000383",22.68,27.51,28.49,21.83,19.96,18.54
"E01000384",22.68,27.51,28.49,21.83,19.96,18.54
"E01000385",22.68,27.51,28.49,21.83,19.96,18.54
"E01000386",22.68,27.51,28.49,21.83,19.96,18.54
"E01000387",22.68,27.51,28.49,21.83,19.96,18.54
"E01000388",22.68,27.51,28.49,21.83,19.96,18.54
"E01000389",22.68,27.51,28.49,21.83,19.96,18.54
"E01000390",22.68,27.51,28.49,21.83,19.96,18.54
"E01000391",22.68,27.51,28.49,21.83,19.96,18.54
"E01000392",22.68,27.51,28.49,21.83,19.96,18.54
"E01000393",22.68,27.51,28.49,21.83,19.96,18.54
"E01000394",22.68,27.51,28.49,21.83,19.96,18.54
"E01000395",22.68,27.51,28.49,21.83,19.96,18.54
"E01000396",22.68,27.51,28.49,21.83,19.96,18.54
"E01000398",22.68,27.51,28.49,21.83,19.96,18.54
"E01000399",22.68,27.51,28.49,21.83,19.96,18.54
"E01000400",22.68,27.51,28.49,21.83,19.96,18.54
"E01000401",22.68,27.51,28.49,21.83,19.96,18.54
"E01000402",22.68,27.51,28.49,21.83,19.96,18.54
"E01000403",22.68,27.51,28.49,21.83,19.96,18.54
"E01000404",22.68,27.51,28.49,21.83,19.96,18.54
"E01000405",22.68,27.51,28.49,21.83,19.96,18.54
